onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
83.6948979592;0.0638548752834;4;4;42;4;3;0.452698412698;"""4/4""";61;18;0;2;Bb-7;A1
83.8;0.11029478458;4;4;42;4;4;0.452698412698;"""4/4""";63;18;0;2;Bb-7;A1
83.9714285714;0.089977324263;4;3;43;1;1;0.434920634921;"""4/4""";61;18;0;2;Gm7b5;A1
84.102675737;0.107392290249;4;3;43;1;2;0.434920634921;"""4/4""";63;18;0;2;Gm7b5;A1
84.2390929705;0.11029478458;4;3;43;1;3;0.434920634921;"""4/4""";65;18;0;2;Gm7b5;A1
84.3958276644;0.089977324263;4;3;43;2;1;0.457006802721;"""4/4""";63;18;0;2;Gm7b5;A1
84.5293424036;0.0986848072562;4;3;43;2;2;0.457006802721;"""4/4""";61;18;0;2;Gm7b5;A1
84.6628571429;0.0841723356009;4;3;43;2;3;0.457006802721;"""4/4""";60;18;0;2;Gm7b5;A1
84.8341043084;0.0986848072562;4;3;43;3;1;0.451473922902;"""4/4""";58;18;0;2;Gm7b5;A1
84.961814059;0.0841723356009;4;3;43;3;2;0.451473922902;"""4/4""";56;18;0;2;Gm7b5;A1
85.1076643991;0.107392290249;4;3;43;3;3;0.451473922902;"""4/4""";55;18;0;2;Gm7b5;A1
85.281814059;0.0522448979592;4;4;43;4;1;0.447324263039;"""4/4""";53;18;0;2;Gm7b5;A1
85.3471201814;0.159637188209;4;4;43;4;2;0.447324263039;"""4/4""";51;18;0;2;Gm7b5;A1
86.4740136054;0.0812698412698;4;2;44;2;2;0.45716553288;"""4/4""";62;19;1;2;C79b;A1
86.6162358277;1.50639455782;4;1;44;3;1;0.465782312925;"""4/4""";63;19;0;2;C79b;A1
88.328707483;0.101587301587;4;4;45;2;4;0.456916099773;"""4/4""";56;19;0;2;F-;A2
88.4796371882;0.130612244898;4;1;45;3;1;0.466848072562;"""4/4""";58;19;0;2;F-;A2
89.1805895692;0.101587301587;4;2;45;4;2;0.437392290249;"""4/4""";60;19;0;2;F-;A2
89.3416780045;0.181405895692;4;1;46;1;1;0.460385487528;"""4/4""";58;19;0;2;F-j7;A2
90.064399093;0.11029478458;4;2;46;2;2;0.437324263039;"""4/4""";60;19;0;2;F-j7;A2
90.2240362812;0.168344671202;4;1;46;3;1;0.456916099773;"""4/4""";58;19;0;2;F-j7;A2
90.9931972789;0.145124716553;4;2;46;4;2;0.443741496599;"""4/4""";72;19;0;2;F-j7;A2
91.1876643991;0.113197278912;4;1;47;1;1;0.459183673469;"""4/4""";71;19;0;2;F-7;A2
91.8407256236;0.142222222222;4;2;47;2;2;0.452857142857;"""4/4""";58;19;0;2;F-7;A2
92.0322902494;0.0812698412698;4;1;47;3;1;0.465782312925;"""4/4""";56;19;0;2;F-7;A2
92.7317913832;0.116099773243;4;2;47;4;2;0.44716553288;"""4/4""";60;19;0;2;F-7;A2
92.9088435374;0.13641723356;4;1;48;1;1;0.43201814059;"""4/4""";58;19;0;2;F-7;A2
93.6460770975;0.142222222222;4;2;48;2;2;0.466802721088;"""4/4""";72;19;0;2;F-6;A2
93.8144217687;0.156734693878;4;1;48;3;1;0.457596371882;"""4/4""";70;19;0;2;F-6;A2
94.5835827664;0.107392290249;4;2;48;4;2;0.431405895692;"""4/4""";60;19;0;2;F-6;A2
94.7403174603;0.342494331066;4;1;49;1;1;0.446621315193;"""4/4""";58;19;0;2;Dbj7;A2
95.1727891156;0.208979591837;4;1;49;2;1;0.441723356009;"""4/4""";56;19;0;2;Dbj7;A2
95.6173469388;0.158163265306;4;2;49;3;1;0.431133786848;"""4/4""";58;19;0;2;Dbj7;A2
95.7837641723;0.065306122449;4;2;49;3;2;0.431133786848;"""4/4""";56;19;0;2;Dbj7;A2
96.3453968254;0.11029478458;4;2;49;4;2;0.447097505669;"""4/4""";60;20;1;2;Dbj7;A2
96.5587301587;0.145124716553;4;2;50;1;1;0.456916099773;"""4/4""";69;20;0;2;Bb-7;A2
96.8010884354;0.13641723356;4;2;50;1;2;0.456916099773;"""4/4""";67;20;0;2;Bb-7;A2
96.9591836735;0.200272108844;4;3;50;2;1;0.457142857143;"""4/4""";65;20;0;2;Bb-7;A2
97.2693877551;0.139319727891;4;3;50;2;3;0.457142857143;"""4/4""";65;20;0;2;Bb-7;A2
